Rate,Rate,Rate,density,recip,jumpXTransTrip
3.327326699994801,2.4774797678321256,2.2186717973998826,-4.969818829643114,4.938169519098003,-0.06075445789162797
3.3830565368529757,2.4965588692609857,2.2698724788825206,-5.049146854996077,5.082843673251425,-1.8888936049259242
3.3425219786631413,2.4957416457971044,2.22084718179869,-4.990341021858797,4.967978703458418,-0.57739929484160335
3.3726373446661513,2.499725015983423,2.222128099131792,-5.001175296007307,4.987970446984564,0.3873682496341661
3.3437220315802056,2.4911446790742255,2.2299760085604983,-4.992193239906965,4.998372626043689,-0.31249221583288495
3.3386319243320033,2.4705893002124766,2.2267640368669674,-4.987384982259401,4.976158957472572,-2.513122699918489
3.3536470461284704,2.4781137641230986,2.2247946453211687,-4.979940156321526,4.9392712806997014,-0.7943782880525777
3.3720873271136167,2.5099869914531876,2.236351694415943,-5.018207688182544,5.027086727407883,-0.47249273694404365
3.326825774025737,2.4698774083631907,2.2079701988216174,-4.954048778749308,4.896889428922896,-2.076292363800887
3.3607552283031614,2.499679970043314,2.2511842831131803,-5.02625735108398,5.032699640922162,-1.7067329469922958
3.357236022098214,2.508437846396254,2.223363107745264,-5.015716417798441,5.0111517091149915,0.22523548327136342
3.3269332615482923,2.476760817551591,2.229284228984824,-4.986642457364176,4.945500255979157,-0.9165587274319374
3.356523265616806,2.4994190342392186,2.229596566094413,-5.0074201073868245,5.005598210691731,-0.726724756598635
3.331081119785047,2.4564664096493716,2.2107593225917688,-4.956857914633699,4.923880134616769,-1.14227466583705
3.3379460056220354,2.4755355326935313,2.2301285286685046,-4.983333709576512,4.951836806010174,-0.11608643781004295
3.3426595654438267,2.4585324578112973,2.201098702205459,-4.959720469676978,4.929024879817587,-1.0985647695070837
3.350144540123206,2.4750589558442586,2.22198548419774,-4.974442404815275,4.944744426221465,0.11790939037445523
3.358246493177329,2.480914561238469,2.229247710265337,-4.989143738586682,4.985192185334934,-1.131401090471196
3.348904778915252,2.466190784005709,2.202891273326461,-4.949665695273676,4.9189871302829085,-0.9296169265402557
3.362430095079587,2.4750106265515983,2.218210949893562,-4.978239629462406,4.958434397588306,-2.680585733403844
3.367609649380661,2.4990769393806356,2.2390300243199843,-4.989335488905365,4.970033290140197,-0.9911574692184326
3.354296016329405,2.4856467237233746,2.253268257582184,-5.002807525881959,4.981242371418038,-2.2574130302493347
3.358469141013986,2.491030805537505,2.2234826609671363,-4.990645357722289,4.968047551117241,-1.9753858662157815
3.3527535199589167,2.495767488247115,2.256929535009375,-5.019589258923519,5.017102451226581,-0.9607050109094627
3.3435282985171626,2.4632499361133076,2.2221912094521707,-4.975872751693221,4.960305428988717,-2.1613097140818884
3.334258346039006,2.471666229166379,2.2108718753671415,-4.9806642921399735,4.939285638671378,-0.45079423060161017
3.3359978336046296,2.482716637486241,2.219875948619467,-4.973399898873855,4.9648742911096075,-1.6297185650698625
3.351676889073984,2.4876152824094637,2.22714998773973,-5.008454360833652,5.014125075400323,-1.8137094657989439
3.3486117951637158,2.4866324014023506,2.230331181408216,-4.988993657277058,4.98411280614562,-1.3525981647272431
3.349842673272982,2.498284428784249,2.242724509308467,-5.001920579830609,4.965590993009563,-0.7389521522591748
3.3520857444199597,2.5066558467248043,2.2339561309593643,-5.005327219297373,4.974935713007899,-1.5910112660190574
3.344535571883365,2.47268966784686,2.2013229517182884,-4.964556000265901,4.915691453240465,-1.4235371986338647
3.345314576607643,2.478230788132531,2.2296820904960133,-4.978135045920082,4.937667111467753,-1.6662783477377363
3.3234722372497245,2.4898181653939195,2.199263172972881,-4.981809870447038,4.966261283150635,-1.5525455850461707
3.352034460877974,2.487331968190482,2.213218382583766,-5.0162130452196205,4.9954152831351095,-0.7805490386632739
3.3539102278079023,2.4946768008046876,2.229112360877453,-4.993212660852502,4.968596599788317,-1.2440353656360486
3.367765667082439,2.488541825023762,2.2169243133050403,-4.9952470642304565,4.981095845612594,0.13224838148202797
3.3400714449921654,2.488471960721673,2.2078679614085606,-4.993623154858781,4.984240119173611,-1.7732967824699903
3.3540239702427836,2.5016387703670557,2.223691854817775,-5.000751282779162,4.994884530995964,-1.3179960206877874
3.3348704986512003,2.4804022918095145,2.2326886639548427,-4.980287452682129,4.933940157799861,-2.4037170801422914
3.3461426579186306,2.4780428049274263,2.2236544453018503,-4.972739016219157,4.921359635577466,-1.3258572236747943
3.3459703220481516,2.49760670395422,2.2402845501848305,-4.970607749015349,4.938872125461028,-1.0506774236535585
3.3475676134041783,2.500472586770109,2.253497215684715,-5.022734087158004,5.029894712558064,-2.4672362390058256
3.3475843805027488,2.4873579763378046,2.222491206651329,-4.987690873071112,4.977658975697772,0.6663503676297533
3.359163220567495,2.4996361067295036,2.2586380959551895,-5.015289764095785,4.989737775285602,-1.4940142244003152
3.331736765607116,2.4671293833432304,2.209222550946675,-4.964688303337515,4.9334303163595,-2.2304266450873254
3.354967798134189,2.4975486613622135,2.242133578436867,-4.995282915163035,4.982098278988713,-1.5057058612697984
3.345266435003231,2.474854319989514,2.224000815530625,-4.978654793943853,4.954324955058987,-1.180445511847096
3.3780558790961326,2.495188601302586,2.230955811824543,-5.015835506137122,5.00938297787073,-1.228649371777942
3.3234351352015308,2.460048873662016,2.2168082040735584,-4.960983990128441,4.919327402633364,-1.2506146368401736
3.3485632522019704,2.489305625947574,2.2230204696080755,-5.025321162636565,5.017800417919619,-0.01606718449171239
3.328746624101091,2.4752457964570986,2.1925896024686473,-4.9853327796906814,4.974889326607905,-1.9369129239959082
3.3622725908965494,2.4942546686338516,2.252379304352262,-5.0332683213935745,5.035883160192923,-2.098394735488253
3.3400816018275545,2.471750186183903,2.200432578025863,-4.962052579980072,4.916450467171625,-1.4509851340641864
3.3554523505469516,2.4888970829507637,2.2450185703422094,-5.00833129086689,4.995265775690812,-2.4577263901964796
