Rate,Rate,Rate,density,recip
3.3660381300272744,2.484361292808092,2.23412613059817,-4.999932607804979,4.986717306097532
3.3712106745939603,2.4895481908849746,2.267548991852414,-5.034975665326078,5.059511380435476
3.315092977496087,2.477115766293771,2.2272493243160687,-4.974406691300932,4.94957922110551
3.344603290761978,2.514503309255644,2.241223468654024,-5.018975668248467,5.0298546698347675
3.353232669924011,2.4970896680742145,2.2322235145554132,-5.009362337684134,5.005898223154918
3.342189406164126,2.492789265708964,2.218065808542763,-4.9848831006119285,4.950335998397697
3.347217550775883,2.467136000953694,2.214396690056539,-4.9720292980699154,4.935014221033079
3.348892046198877,2.467688329965009,2.217266798808642,-4.969845442754298,4.93512372330813
3.349467892909669,2.501747774691318,2.226048277967102,-4.988225857089783,4.955006337837518
3.3590485512252126,2.486398464707999,2.256134607913281,-5.022818013784781,5.031308266116839
3.3465717915872304,2.4984211659719757,2.2277328559439495,-4.98278073007649,4.9558591275115695
3.3261790342005773,2.4861796019136797,2.213595968546434,-4.967969387040095,4.927375063288374
3.354848546643566,2.4486474747080873,2.2067360723155223,-4.977918171081377,4.94836760544904
3.3296669583984078,2.472264155196805,2.2302138803315237,-4.982518668013099,4.984517903464144
3.347225656860472,2.496233740592407,2.2095973466701473,-4.970202681302406,4.94338075220238
