source,gsw,nfw,raw,target,born,icpsr,n_au,n_bills,n_co,nyears,party,sex,state,thomas,senate
Jeanne Shaheen,0.2509101092131056,1.6,3,Tom S. Udall,1947,40906,24,276,252,0,DEM,F,NH,01901,111
Jeanne Shaheen,0.7638441254028714,3.0384615384615383,4,Judd A. Gregg,1947,40906,24,276,252,0,DEM,F,NH,01901,111
Jeanne Shaheen,0.5922330097087378,0.023809523809523808,1,Hillary Rodham Clinton,1947,40906,24,276,252,0,DEM,F,NH,01901,111
Jeff Bingaman,0.6190609539811445,3.947619047619048,8,Tom S. Udall,1943,14912,76,319,243,24,DEM,M,NM,01285,111
Jeff Bingaman,1,0.04020296643247463,2,Hillary Rodham Clinton,1943,14912,76,319,243,24,DEM,M,NM,01285,111
Jeff Merkley,0.4804711556454534,16.623809523809523,27,Ron Wyden,1956,40908,20,344,324,0,DEM,M,OR,01900,111
Jeff Merkley,1,0.04020296643247463,2,Hillary Rodham Clinton,1956,40908,20,344,324,0,DEM,M,OR,01900,111
Jefferson B. Sessions,0.5894736842105264,2.3333333333333335,3,Richard C. Shelby,1946,49700,7,133,126,12,REP,M,AL,01548,111
Jim Bunning,NA,NA,NA,NA,1931,15406,7,117,110,6,REP,M,KY,00146,111
Jim W. DeMint,0.3413838781951691,2.179887218045113,5,Lindsey O. Graham,1951,29936,18,110,92,0,REP,M,SC,01605,111
Jim W. DeMint,0.3303453730556288,0.8287037037037037,4,Thomas A. Coburn,1951,29936,18,110,92,0,REP,M,SC,01605,111
Jim Webb,0.40495867768595045,1.8666666666666667,4,Mark Warner,1946,40706,19,124,105,0,DEM,M,VA,01822,111
Joe Manchin III,NA,NA,NA,NA,1947,40915,0,1,1,0,DEM,M,WV,01983,111
John A. Barrasso,0.8255967585660178,2.366919191919192,7,Michael B. Enzi,1952,40707,9,140,131,0,REP,M,WY,01881,111
John Cornyn,0.5556637118558332,6.2527383727383725,15,Kay Bailey Hutchison,1952,40305,26,219,193,7,REP,M,TX,01692,111
John Cornyn,0.4962686567164179,2.111111111111111,3,Jon Kyl,1952,40305,26,219,193,7,REP,M,TX,01692,111
John D. Rockefeller IV,0.39412484700122397,1.301010101010101,4,Robert C. Byrd,1937,14922,60,201,141,24,DEM,M,WV,01424,111
John Eric Ensign,NA,NA,NA,NA,1958,29537,27,204,177,6,REP,M,NV,00348,111
