source,gsw,nfw,raw,target,born,icpsr,n_au,n_bills,n_co,nyears,party,sex,state,thomas,senate
Roger F. Wicker,0.3809910641754671,1.3958333333333333,3,Joe Donnelly,1951,29534,16,290,274,6,REP,M,MS,01226,113
Ron Johnson,0.29509231497554045,2.25,3,Tammy Baldwin,1955,41111,5,153,148,0,REP,M,WI,02086,113
Ron Wyden,0.41333427953021323,5.042857142857143,9,Jeff Merkley,1949,14871,48,281,233,15,DEM,M,OR,01247,113
Roy Blunt,0.5976482593056415,6.886204481792717,12,Claire McCaskill,1950,29735,21,343,322,0,REP,M,MO,01464,113
Saxby Chambliss,0.40695392745675363,5.26475279106858,10,John H. Isakson,1943,29512,5,256,251,6,REP,M,GA,00188,113
Sheldon Whitehouse,0.30993757050932685,2.374941816471052,12,Frank R. Lautenberg,1955,40704,29,362,333,6,DEM,M,RI,01823,113
Sheldon Whitehouse,0.3157047168957528,6.6774281274281275,24,John F. Reed,1955,40704,29,362,333,6,DEM,M,RI,01823,113
Sherrod Brown,0.2871125611745514,1.0476190476190477,2,Cory Anthony Booker,1952,29389,55,371,316,6,DEM,M,OH,00136,113
Sherrod Brown,0.29380630881321945,3.1054779496652043,7,Robert J. Portman,1952,29389,55,371,316,6,DEM,M,OH,00136,113
Susan M. Collins,0.33417402269861285,2.676767676767677,6,Angus King,1952,49703,34,371,337,12,REP,F,ME,01541,113
Tammy Baldwin,0.42574257425742573,1.5,2,Ron Johnson,1962,29940,17,252,235,0,DEM,F,WI,01558,113
Ted Cruz,0.27819388575878046,4.501731601731602,10,John Cornyn,1970,41304,25,164,139,0,REP,M,TX,02175,113
Ted Cruz,0.44814909711602013,1.8271882192118765,10,Mike Lee,1970,41304,25,164,139,0,REP,M,TX,02175,113
Ted Cruz,0.27430291166003434,3.5045822102425874,9,Marco Rubio,1970,41304,25,164,139,0,REP,M,TX,02175,113
Thad Cochran,NA,NA,NA,NA,1937,14009,10,265,255,30,REP,M,MS,00213,113
Thomas A. Coburn,0.48737507797510743,4.616767676767677,9,Thomas Richard Carper,1948,29555,28,207,179,6,REP,M,OK,00212,113
Thomas A. Coburn,0.5578602620087336,0.8111111111111111,3,Tim Scott,1948,29555,28,207,179,6,REP,M,OK,00212,113
Thomas Harkin,NA,NA,NA,NA,1939,14230,43,272,229,24,DEM,M,IA,00501,113
Thomas Richard Carper,NA,NA,NA,NA,1947,15015,19,130,111,12,DEM,M,DE,00179,113
Tim P. Johnson,NA,NA,NA,NA,1946,15425,13,227,214,12,DEM,M,SD,00604,113
Tim Scott,NA,NA,NA,NA,1965,21173,5,161,156,0,REP,M,SC,02056,113
Timothy Kaine,0.7057491508365832,1.3333333333333333,2,Heidi Heitkamp,1958,41305,16,176,160,0,DEM,M,VA,02176,113
Timothy Kaine,0.3655188214431402,6.149998767390072,13,Mark Warner,1958,41305,16,176,160,0,DEM,M,VA,02176,113
Tom S. Udall,0.5375722543352601,2.325,5,Martin Heinrich,1948,29924,42,262,220,0,DEM,M,NM,01567,113
William Cowan,NA,NA,NA,NA,1969,NA,0,56,56,0,DEM,M,MA,02189,113
Alan Stuart Franken,0.2675957344922223,9.518223443223443,21,Amy Jean Klobuchar,1951,40904,31,439,408,6,DEM,M,MN,01969,114
Amy Jean Klobuchar,0.30639906125746696,4.763216001478197,10,Alan Stuart Franken,1960,40700,61,429,368,6,DEM,F,MN,01826,114
Angus King,0.3318578512037037,5.682598039215686,11,Susan M. Collins,1944,41300,17,263,246,0,IND,M,ME,02185,114
Angus King,0.27621357227999505,1.3333333333333333,2,Shelley Moore Capito,1944,41300,17,263,246,0,IND,M,ME,02185,114
Barbara A. Mikulski,0.45696733908849746,8.805569561157796,27,Benjamin L. Cardin,1936,14440,12,275,263,24,DEM,F,MD,00802,114
Barbara Boxer,0.2592954058557487,1.1682754182754183,4,Jefferson B. Sessions,1940,15011,37,385,348,18,DEM,F,CA,00116,114
Barbara Boxer,0.5283600324095123,10.208757816257815,28,Dianne Feinstein,1940,15011,37,385,348,18,DEM,F,CA,00116,114
Barbara Boxer,0.273293790825137,4.924242424242424,7,James M. Inhofe,1940,15011,37,385,348,18,DEM,F,CA,00116,114
Benjamin Eric Sasse,NA,NA,NA,NA,1972,41503,5,91,86,0,REP,M,NE,02289,114
Benjamin L. Cardin,0.515838288599119,1.8064171122994652,8,Barbara A. Mikulski,1943,15408,61,328,267,6,DEM,M,MD,00174,114
Benjamin L. Cardin,0.4812425612949298,2.1682754182754183,5,Jefferson B. Sessions,1943,15408,61,328,267,6,DEM,M,MD,00174,114
Benjamin L. Cardin,0.8280249857099453,3.5308519982433024,14,Bob Corker,1943,15408,61,328,267,6,DEM,M,MD,00174,114
Bernard Sanders,NA,NA,NA,NA,1941,29147,18,235,217,6,IND,M,VT,01010,114
Bill Cassidy,0.31764174185793226,8.136724386724387,14,David Vitter,1957,20919,32,189,157,0,REP,M,LA,01925,114
Bill Nelson,0.401868858457929,7.0287037037037035,12,Marco Rubio,1942,14651,37,222,185,12,DEM,M,FL,00859,114
Bob Corker,NA,NA,NA,NA,1952,40705,17,94,77,6,REP,M,TN,01825,114
Brian Emanuel Schatz,0.31814041793046577,4.913038330996077,16,Mazie K. Hirono,1972,41112,29,298,269,3,DEM,M,HI,02173,114
Charles E. Grassley,0.3358238656743846,1.4901883830455258,5,Joni Ernst,1933,14226,79,305,226,30,REP,M,IA,00457,114
Charles E. Grassley,0.2628605780277559,2.142857142857143,3,Patrick J. Leahy,1933,14226,79,305,226,30,REP,M,IA,00457,114
Charles E. Grassley,0.25960250631023796,1.0531565656565656,4,Tim Scott,1933,14226,79,305,226,30,REP,M,IA,00457,114
Charles E. Schumer,0.480701288052098,6.543299269641981,18,Kirsten E. Gillibrand,1950,14858,38,399,361,12,DEM,M,NY,01036,114
Charles E. Schumer,0.32430417897850333,5.049242424242424,11,Roy Blunt,1950,14858,38,399,361,12,DEM,M,NY,01036,114
Chris Andrew Coons,0.29842011215761804,1.2725186649099693,9,Bob Corker,1963,40916,35,421,386,5,DEM,M,DE,01984,114
Christopher S. Murphy,0.3465874522170685,9.204781740733752,26,Richard Blumenthal,1973,20707,26,325,299,0,DEM,M,CT,01837,114
Claire McCaskill,0.6041729664348352,1.0588235294117647,2,Benjamin Eric Sasse,1953,40701,14,206,192,6,DEM,F,MO,01820,114
Claire McCaskill,0.3180535242506587,4.951923076923077,11,Roy Blunt,1953,40701,14,206,192,6,DEM,F,MO,01820,114
Cory Anthony Booker,0.30071403429996085,4.635407853166597,25,Robert Menéndez,1969,41308,32,314,282,2,DEM,M,NJ,02194,114
Cory Gardner,0.26254002134471716,1.3666666666666667,3,James Risch,1974,21112,35,262,227,0,REP,M,CO,01998,114
Dan Sullivan,0.7404923549033273,21.146825396825395,29,Lisa A. Murkowski,1964,41500,14,181,167,0,REP,M,AK,02290,114
Daniel Ray Coats,NA,NA,NA,NA,1943,14806,9,140,131,22,REP,M,IN,00209,114
David Perdue,0.3020505355669194,4.8602235772357725,10,John H. Isakson,1949,41501,8,215,207,0,REP,M,GA,02286,114
David Vitter,NA,NA,NA,NA,1961,29918,55,295,240,6,REP,M,LA,01609,114
Dean Heller,0.5985948922434255,4.041666666666667,5,Harry M. Reid,1960,20730,43,248,205,2,REP,M,NV,01863,114
Deb Fischer,0.3547264008408329,1.0909090909090908,2,James Lankford,1951,41302,30,211,181,0,REP,F,NE,02179,114
Debbie Ann Stabenow,0.4150578140532622,5.08525641025641,11,Gary C. Peters,1950,29732,32,322,290,12,DEM,F,MI,01531,114
Dianne Feinstein,0.6435178871135059,11.630580232971537,21,Barbara Boxer,1933,49300,51,394,343,21,DEM,F,CA,01332,114
Edward J. Markey,0.2523606350982724,2.342857142857143,6,Bernard Sanders,1946,14435,48,435,387,2,DEM,M,MA,00735,114
Elizabeth Warren,0.3131272281522371,7.461132799948589,21,Edward J. Markey,1949,41301,23,346,323,0,DEM,F,MA,02182,114
Gary C. Peters,0.40050314375546464,5.641441672362725,18,Debbie Ann Stabenow,1958,20923,22,348,326,0,DEM,M,MI,01929,114
Harry M. Reid,0.3036890107809642,7.791666666666667,10,Dean Heller,1939,15054,14,150,136,24,DEM,M,NV,00952,114
Harry M. Reid,0.7155258678937061,8.090909090909092,17,Mitch McConnell,1939,15054,14,150,136,24,DEM,M,NV,00952,114
Heidi Heitkamp,0.40374809124982647,5.135004708097928,11,John Hoeven,1955,41303,33,257,224,0,DEM,F,ND,02174,114
Heidi Heitkamp,0.38114981675489584,2.6,4,Joe Manchin III,1955,41303,33,257,224,0,DEM,F,ND,02174,114
Heidi Heitkamp,0.38182355646061883,1.1742424242424243,4,James Lankford,1955,41303,33,257,224,0,DEM,F,ND,02174,114
James Lankford,0.2675876567309858,4.821428571428571,10,James M. Inhofe,1968,21166,10,183,173,0,REP,M,OK,02050,114
James M. Inhofe,NA,NA,NA,NA,1934,15424,32,273,241,21,REP,M,OK,00583,114
James Risch,0.806190915072502,9.017567983265657,18,Michael D. Crapo,1943,40902,10,221,211,6,REP,M,ID,01896,114
Jeanne Shaheen,0.27489945466061766,1.1722222222222223,8,Bob Corker,1947,40906,53,398,345,6,DEM,F,NH,01901,114
Jeff Flake,0.5063188047255409,10.540875790875791,15,John S. McCain,1962,20100,39,193,154,0,REP,M,AZ,01633,114
Jeff Merkley,0.3483248233895223,3.2337662337662336,7,Bernard Sanders,1956,40908,26,367,341,6,DEM,M,OR,01900,114
Jeff Merkley,0.639935541368675,22.576399250867336,40,Ron Wyden,1956,40908,26,367,341,6,DEM,M,OR,01900,114
Jefferson B. Sessions,0.9090909090909091,1,1,Richard C. Shelby,1946,49700,10,159,149,18,REP,M,AL,01548,114
Jefferson B. Sessions,0.31767561154743595,3.2551701531676502,8,Ted Cruz,1946,49700,10,159,149,18,REP,M,AL,01548,114
Jerry Moran,NA,NA,NA,NA,1954,29722,37,290,253,0,REP,M,KS,01507,114
Joe Donnelly,NA,NA,NA,NA,1955,20717,17,188,171,0,DEM,M,IN,01850,114
Joe Manchin III,0.3716141230630112,1.7938492063492064,7,Shelley Moore Capito,1947,40915,16,199,183,3,DEM,M,WV,01983,114
John A. Barrasso,0.27500872146712174,1.1156565656565656,5,Tim Scott,1952,40707,31,203,172,6,REP,M,WY,01881,114
John Boozman,NA,NA,NA,NA,1950,20101,19,271,252,0,REP,M,AR,01687,114
John Cornyn,NA,NA,NA,NA,1952,40305,33,255,222,13,REP,M,TX,01692,114
John F. Reed,NA,NA,NA,NA,1949,29142,33,244,211,18,DEM,M,RI,00949,114
John H. Isakson,0.44240659873847643,1.7190799396681749,5,David Perdue,1944,29909,33,293,260,6,REP,M,GA,01608,114
John Hoeven,NA,NA,NA,NA,1957,41107,22,171,149,0,REP,M,ND,02079,114
John S. McCain,0.4548244306226188,9.262867198161317,22,Jeff Flake,1936,15039,29,224,195,24,REP,M,AZ,00754,114
John Thune,0.30676552363299353,2.507575757575758,5,Mike Rounds,1961,29754,53,238,185,6,REP,M,SD,01534,114
Jon Tester,0.42170451194337955,4.583333333333333,7,Steve Daines,1956,40702,43,297,254,6,DEM,M,MT,01829,114
Joni Ernst,NA,NA,NA,NA,1970,41502,13,171,158,0,REP,F,IA,02283,114
Kelly Ayotte,0.33638770937465723,6.264180672268908,18,Jeanne Shaheen,1968,41106,32,431,399,0,REP,F,NH,02075,114
Kirsten E. Gillibrand,0.5437815969438947,9.865177395068699,21,Charles E. Schumer,1966,20735,32,446,414,4,DEM,F,NY,01866,114
Lamar Alexander,NA,NA,NA,NA,1940,40304,36,176,140,12,REP,M,TN,01695,114
Lindsey O. Graham,NA,NA,NA,NA,1955,29566,12,168,156,12,REP,M,SC,00452,114
Lisa A. Murkowski,0.7161290322580646,6.166666666666667,10,Dan Sullivan,1957,40300,43,264,221,8,REP,F,AK,01694,114
Marco Rubio,0.41087897997332523,1.7520641194554238,10,Bob Corker,1971,41102,43,367,324,0,REP,M,FL,02084,114
Marco Rubio,0.263133275090975,1.1676303854875283,5,Joni Ernst,1971,41102,43,367,324,0,REP,M,FL,02084,114
Marco Rubio,0.3007257332930148,0.527027027027027,2,Benjamin Eric Sasse,1971,41102,43,367,324,0,REP,M,FL,02084,114
Marco Rubio,0.42450915037719594,6.339105339105339,15,Bill Nelson,1971,41102,43,367,324,0,REP,M,FL,02084,114
Maria Cantwell,0.3533194651245808,3.950892921481157,20,Patty Murray,1958,39310,33,268,235,12,DEM,F,WA,00172,114
Mark Steven Kirk,NA,NA,NA,NA,1959,20115,54,386,332,1,REP,M,IL,01647,114
Mark Warner,0.4913043046916079,5.359523809523809,8,Timothy Kaine,1954,40909,21,222,201,6,DEM,M,VA,01897,114
Mark Warner,0.2682926829268293,0.7333333333333334,3,Thom Tillis,1954,40909,21,222,201,6,DEM,M,VA,01897,114
Martin Heinrich,0.5888265239524867,14.320634920634921,27,Tom S. Udall,1971,20930,19,300,281,0,DEM,M,NM,01937,114
Martin Heinrich,0.384204909284952,2,2,James Risch,1971,20930,19,300,281,0,DEM,M,NM,01937,114
Mazie K. Hirono,NA,NA,NA,NA,1947,20713,36,342,306,0,DEM,F,HI,01844,114
Michael B. Enzi,0.4013753379282468,4.651392035860121,15,John A. Barrasso,1944,49706,33,229,196,18,REP,M,WY,01542,114
Michael D. Crapo,0.26680896478121663,1.3888888888888888,3,James Risch,1951,29345,24,247,223,12,REP,M,ID,00250,114
Michael F. Bennet,0.5786782521306076,14.201923076923077,17,Cory Gardner,1964,40910,22,323,301,2,DEM,M,CO,01965,114
Mike Lee,0.29041508206056416,1,1,Tom Cotton,1971,41110,34,198,164,0,REP,M,UT,02080,114
Mike Lee,0.4139703658905352,0.7254901960784313,3,Benjamin Eric Sasse,1971,41110,34,198,164,0,REP,M,UT,02080,114
Mike Rounds,NA,NA,NA,NA,1954,41505,12,201,189,0,REP,M,SD,02288,114
Mitch McConnell,NA,NA,NA,NA,1942,14921,25,126,101,30,REP,M,KY,01395,114
Orrin G. Hatch,NA,NA,NA,NA,1934,14503,57,282,225,36,REP,M,UT,01351,114
Pat Roberts,NA,NA,NA,NA,1936,14852,24,274,250,18,REP,M,KS,00968,114
Patrick J. Leahy,NA,NA,NA,NA,1940,14307,26,286,260,36,DEM,M,VT,01383,114
Patrick J. Toomey,NA,NA,NA,NA,1961,29935,29,206,177,0,REP,M,PA,02085,114
Patty Murray,0.5524845272652273,7.8293077539571225,18,Maria Cantwell,1950,49308,46,346,300,18,DEM,F,WA,01409,114
Rand Paul,0.2734285968356465,1.1092463092463092,4,Tim Scott,1963,41104,27,152,125,0,REP,M,KY,02082,114
Richard Blumenthal,0.3204205734877491,4.950732600732601,13,Christopher S. Murphy,1946,41101,59,494,435,0,DEM,M,CT,02076,114
Richard Blumenthal,0.2687446285747401,6.4035931174089065,14,Edward J. Markey,1946,41101,59,494,435,0,DEM,M,CT,02076,114
Richard C. Shelby,NA,NA,NA,NA,1934,14659,2,72,70,24,REP,M,AL,01049,114
Richard J. Durbin,NA,NA,NA,NA,1944,15021,45,437,392,18,DEM,M,IL,00326,114
Richard M. Burr,0.9268292682926829,2.533333333333333,4,Thom Tillis,1955,29548,37,220,183,6,REP,M,NC,00153,114
Robert J. Portman,0.34517419329188226,8.358766233766234,12,Sherrod Brown,1955,29386,49,280,231,0,REP,M,OH,00924,114
Robert Menéndez,0.2912040138520929,3.093107769423559,10,Cory Anthony Booker,1954,29373,51,317,266,7,DEM,M,NJ,00791,114
Robert P. Casey Jr.,0.25485847941297596,3.4305228758169934,7,Patrick J. Toomey,1960,40703,53,335,282,6,DEM,M,PA,01828,114
Roger F. Wicker,0.4051724137931034,1.3055555555555556,3,Thad Cochran,1951,29534,24,265,241,6,REP,M,MS,01226,114
Ron Johnson,0.3547264008408329,1.0909090909090908,4,James Lankford,1955,41111,35,215,180,0,REP,M,WI,02086,114
Ron Johnson,0.263133275090975,1.1676303854875283,4,Joni Ernst,1955,41111,35,215,180,0,REP,M,WI,02086,114
Ron Johnson,0.33500318246577954,4.032124819624819,11,Thomas Richard Carper,1955,41111,35,215,180,0,REP,M,WI,02086,114
Ron Wyden,0.33250228024463874,4.658131502643697,12,Jeff Merkley,1949,14871,65,334,269,15,DEM,M,OR,01247,114
Roy Blunt,0.37793525079894397,2.7846027846027845,6,Claire McCaskill,1950,29735,43,328,285,0,REP,M,MO,01464,114
Sheldon Whitehouse,0.29388491060570315,4.947835497835498,14,John F. Reed,1955,40704,25,364,339,6,DEM,M,RI,01823,114
Sheldon Whitehouse,0.30044755264025064,1.0521390374331552,3,Barbara A. Mikulski,1955,40704,25,364,339,6,DEM,M,RI,01823,114
Shelley Moore Capito,0.39012061745957016,3.4924603174603175,11,Kelly Ayotte,1953,20146,13,269,256,0,REP,F,WV,01676,114
Sherrod Brown,0.3373714285714286,1.5769230769230769,3,Lindsey O. Graham,1952,29389,53,421,368,6,DEM,M,OH,00136,114
Sherrod Brown,0.3242627469160377,6.840389185977421,12,Robert J. Portman,1952,29389,53,421,368,6,DEM,M,OH,00136,114
Steve Daines,0.2695551571203857,4.747023809523809,9,Jon Tester,1962,21338,22,229,207,0,REP,M,MT,02138,114
Susan M. Collins,0.2571258021190867,2.051190476190476,7,Angus King,1952,49703,39,340,301,18,REP,F,ME,01541,114
Tammy Baldwin,NA,NA,NA,NA,1962,29940,36,416,380,0,DEM,F,WI,01558,114
Ted Cruz,0.3404389572485139,4.034559460147696,14,John Cornyn,1970,41304,25,201,176,0,REP,M,TX,02175,114
Ted Cruz,0.2986906492420743,3.7763512213512214,20,Mike Lee,1970,41304,25,201,176,0,REP,M,TX,02175,114
Thad Cochran,0.2881339137603597,2.8849701121914126,9,Roger F. Wicker,1937,14009,8,208,200,36,REP,M,MS,00213,114
Thom Tillis,0.33812362377192523,6.298430735930736,12,Richard M. Burr,1960,41504,5,203,198,0,REP,M,NC,02291,114
Thomas Richard Carper,0.25735080058224163,1,1,David Perdue,1947,15015,27,189,162,12,DEM,M,DE,00179,114
Tim Scott,0.2543542857142857,1.1888888888888889,3,Lindsey O. Graham,1965,21173,14,193,179,2,REP,M,SC,02056,114
Timothy Kaine,0.2771470160116448,1.0769230769230769,2,David Perdue,1958,41305,20,224,204,0,DEM,M,VA,02176,114
Timothy Kaine,0.2884686785521199,2.3964285714285714,7,Mark Warner,1958,41305,20,224,204,0,DEM,M,VA,02176,114
Tom Cotton,0.3734296411392834,2.502164502164502,8,John Boozman,1977,21301,11,208,197,0,REP,M,AR,02098,114
Tom S. Udall,0.2987044384075957,4.18464665415885,7,Jeff Merkley,1948,29924,41,278,237,6,DEM,M,NM,01567,114
Tom S. Udall,0.4930338698054288,6.515873015873016,10,Martin Heinrich,1948,29924,41,278,237,6,DEM,M,NM,01567,114
