"","V1","V2","V3","V4","V5"
"ests",4.74081630285159,2.00126815813907,-3.59784292909536,4.2436096386822,-7.99647028086169
"ests",4.68557779498015,1.99184926191312,-3.62959828586647,4.29155866156826,-7.32770161780159
"ests",4.77716805737653,1.92191267645497,-3.59453973925314,4.25890018248612,-6.08276757983158
"ests",4.71523785005477,1.93649367573948,-3.56956113608013,4.20685831320012,-7.14097111680116
"ests",4.81065675057388,2.00352286532187,-3.67321727396027,4.34538365799227,-11.1035171778801
"ests",4.73563689930229,1.96173209195229,-3.54490461490644,4.16297331893618,-7.42202266685377
"ests",4.71534393725146,1.99496194681024,-3.55693561324352,4.21815186474587,-5.51319783260721
"ests",4.7523886142257,1.98760972916246,-3.58037652959278,4.24876057112464,-5.38389000351904
"ests",4.73062440274752,1.98613467729726,-3.58353157070485,4.21755703465457,-8.39924148142953
"ests",4.72276333709355,1.99154848493859,-3.55438985165258,4.19485315788883,-6.82304572092216
"ests",4.72163179888511,1.96901183540309,-3.5762546568969,4.22017336171251,-7.00228385453815
"ests",4.68688187140288,1.93468317387263,-3.57254973922842,4.18387691332936,-7.43910935249707
"ests",4.794242419254,2.02848460882884,-3.58376137490525,4.20856844024061,-6.10326213958971
"ests",4.75536864862727,2.02050840017413,-3.57419739550827,4.20959635704329,-6.75586868852958
"ests",4.77630287796094,2.02876869075589,-3.62212569544575,4.28250966130057,-8.20585760147475
"ests",4.69175512526172,1.95215310167884,-3.59722684145107,4.21287146368524,-8.94161793318907
"ests",4.75888927743197,1.95842798399839,-3.59897721721537,4.31111156155262,-3.9164990346154
"ests",4.80631901600072,2.02652273961046,-3.62492809391002,4.27578154294061,-8.92829664311584
"ests",4.76992198591386,1.97108822414426,-3.57974585451835,4.23806388712646,-7.236294892632
"ests",4.76284226962758,1.98996884775797,-3.61222693424356,4.27324018182029,-5.96317987307811
"ests",4.68675163809667,1.95573258178905,-3.54665104527413,4.18025085380688,-6.18970885296187
"ests",4.74926983629637,1.96888029114834,-3.58033394010504,4.21073084107384,-5.86355341781395
"ests",4.72338326804396,1.95757935595097,-3.56859492059476,4.22317305000237,-5.51487796960403
"ests",4.6675051198072,1.98898679344664,-3.58488842893411,4.23088850492069,-6.05411939824438
"ests",4.75311672152268,1.95807043369781,-3.57186119350845,4.19099676954681,-8.68685411680681
"ests",4.65761122588239,1.97325105078721,-3.58095401004881,4.17869578763853,-8.81010095646202
"ests",4.69367057077611,1.95004652833887,-3.58480977619826,4.22014668550735,-8.47075077977891
"ests",4.66530214690653,2.00196621139839,-3.52543416699735,4.13315129888594,-7.22625973643565
"ests",4.65497704678467,1.9430909184575,-3.58656801919805,4.21952850860238,-7.54821080783515
"ests",4.77276307064391,2.00216833968202,-3.59060644626767,4.26188198031592,-5.73632584325264
